count_PESONET_OUT	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
11 - <16	1281	4731	6012	0.0122	0.1565	0.0098	-2.78	0.41
16 - <21	477	1614	2091	0.0042	0.0583	0.0033	-2.86	0.16
21+	358	811	1169	0.0024	0.0437	0.0017	-3.26	0.14
6 - <11	1110	17978	19088	0.0387	0.1356	0.0371	-1.3	0.13
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.98

active_days_with_txns	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <6	4958	459871	464829	0.9425	0.6058	0.9482	0.45	0.15
11 - <16	1281	4731	6012	0.0122	0.1565	0.0098	-2.78	0.41
16 - <21	477	1614	2091	0.0042	0.0583	0.0033	-2.86	0.16
21+	358	811	1169	0.0024	0.0437	0.0017	-3.26	0.14
6 - <11	1110	17978	19088	0.0387	0.1356	0.0371	-1.3	0.13
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.98

num_inflow_days	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <6	5493	472344	477837	0.9689	0.6712	0.9739	0.37	0.11
11 - <16	957	1989	2946	0.006	0.1169	0.0041	-3.35	0.38
16 - <21	359	696	1055	0.0021	0.0439	0.0014	-3.42	0.15
21+	140	357	497	0.001	0.0171	0.0007	-3.15	0.05
6 - <11	1235	9619	10854	0.022	0.1509	0.0198	-2.03	0.27
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.95

min_txn_sessions_per_day_3min	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <6	7352	484857	492209	0.998	0.8983	0.9997	0.11	0.01
11 - <16	200	33	233	0.0005	0.0244	0.0001	-5.88	0.14
16+	166	21	187	0.0004	0.0203	0.0	-6.15	0.12
6 - <11	466	94	560	0.0011	0.0569	0.0002	-5.68	0.32
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.6

min_txn_sessions_per_day_5min	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <6	7553	484901	492454	0.9985	0.9229	0.9998	0.08	0.01
11 - <16	175	15	190	0.0004	0.0214	0.0	-6.54	0.14
16 - <21	60	1	61	0.0001	0.0073	0.0	-8.18	0.06
21+	24	1	25	0.0001	0.0029	0.0	-7.26	0.02
6 - <11	372	87	459	0.0009	0.0455	0.0002	-5.53	0.25
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.48

min_txn_count_day	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	7221	484837	492058	0.9977	0.8823	0.9997	0.12	0.01
10 - <20	574	71	645	0.0013	0.0701	0.0001	-6.17	0.43
20 - <30	219	46	265	0.0005	0.0268	0.0001	-5.64	0.15
30 - <40	91	34	125	0.0003	0.0111	0.0001	-5.07	0.06
40 - <50	45	10	55	0.0001	0.0055	0.0	-5.59	0.03
50+	34	7	41	0.0001	0.0042	0.0	-5.66	0.02
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.71

max_txn_sessions_per_day_5min	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	5384	484169	489553	0.9926	0.6579	0.9983	0.42	0.14
10 - <20	691	646	1337	0.0027	0.0844	0.0013	-4.15	0.34
20 - <30	501	110	611	0.0012	0.0612	0.0002	-5.6	0.34
30 - <40	565	30	595	0.0012	0.069	0.0001	-7.02	0.48
40 - <50	286	11	297	0.0006	0.0349	0.0	-7.34	0.26
50 - <60	421	7	428	0.0009	0.0514	0.0	-8.18	0.42
60 - <70	270	18	288	0.0006	0.033	0.0	-6.79	0.22
70+	66	14	80	0.0002	0.0081	0.0	-5.63	0.05
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.26

max_txn_sessions_per_day_3min	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	5309	484075	489384	0.9923	0.6487	0.9981	0.43	0.15
10 - <20	464	679	1143	0.0023	0.0567	0.0014	-3.7	0.2
20 - <30	457	126	583	0.0012	0.0558	0.0003	-5.37	0.3
30 - <40	475	42	517	0.001	0.058	0.0001	-6.51	0.38
40 - <50	354	30	384	0.0008	0.0433	0.0001	-6.55	0.28
50 - <60	276	11	287	0.0006	0.0337	0.0	-7.3	0.25
60 - <70	418	6	424	0.0009	0.0511	0.0	-8.33	0.43
70 - <80	243	14	257	0.0005	0.0297	0.0	-6.94	0.21
80+	188	22	210	0.0004	0.023	0.0	-6.23	0.14
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.33

num_unique_source_names	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <10	5912	483855	489767	0.9931	0.7224	0.9976	0.32	0.09
10 - <20	1021	793	1814	0.0037	0.1248	0.0016	-4.33	0.53
20 - <30	436	183	619	0.0013	0.0533	0.0004	-4.95	0.26
30 - <40	332	52	384	0.0008	0.0406	0.0001	-5.94	0.24
40 - <50	110	44	154	0.0003	0.0134	0.0001	-5.0	0.07
50 - <60	102	13	115	0.0002	0.0125	0.0	-6.14	0.08
60 - <70	68	11	79	0.0002	0.0083	0.0	-5.9	0.05
70+	203	54	257	0.0005	0.0248	0.0001	-5.41	0.13
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.45

num_unique_destination_accounts	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <20	5716	484571	490287	0.9941	0.6984	0.9991	0.36	0.11
20 - <40	195	266	461	0.0009	0.0238	0.0005	-3.77	0.09
40 - <60	147	59	206	0.0004	0.018	0.0001	-4.99	0.09
60 - <80	106	32	138	0.0003	0.013	0.0001	-5.28	0.07
80+	2020	77	2097	0.0043	0.2468	0.0002	-7.35	1.81
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.17

num_unique_destination_names	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <20	5728	484538	490266	0.9941	0.6999	0.999	0.36	0.11
20 - <40	203	298	501	0.001	0.0248	0.0006	-3.7	0.09
40 - <60	147	61	208	0.0004	0.018	0.0001	-4.96	0.09
60 - <80	107	34	141	0.0003	0.0131	0.0001	-5.23	0.07
80+	1999	74	2073	0.0042	0.2443	0.0002	-7.38	1.8
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	2.15

percent_inflow_same_day_out	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0.0 - <0.2	3993	451227	455220	0.923	0.4879	0.9304	0.65	0.29
0.2 - <0.4	404	16544	16948	0.0344	0.0494	0.0341	-0.37	0.01
0.4 - <0.6	766	13309	14075	0.0285	0.0936	0.0274	-1.23	0.08
0.6 - <0.8	940	3241	4181	0.0085	0.1149	0.0067	-2.84	0.31
Other	2081	684	2765	0.0056	0.2543	0.0014	-5.19	1.31
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.99

top_source_share_in	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0.0 - <0.2	4278	322989	327267	0.6636	0.5227	0.6659	0.24	0.03
0.2 - <0.4	1291	2921	4212	0.0085	0.1577	0.006	-3.27	0.5
0.4 - <0.6	977	15660	16637	0.0337	0.1194	0.0323	-1.31	0.11
0.6 - <0.8	471	15985	16456	0.0334	0.0576	0.033	-0.56	0.01
Other	1167	127450	128617	0.2608	0.1426	0.2628	0.61	0.07
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.73

repeat_counterparty_ratio_in	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0.0 - <0.2	5965	422695	428660	0.8692	0.7289	0.8715	0.18	0.03
0.2 - <0.4	1040	8595	9635	0.0195	0.1271	0.0177	-1.97	0.22
0.4 - <0.6	533	17228	17761	0.036	0.0651	0.0355	-0.61	0.02
0.6 - <0.8	178	4083	4261	0.0086	0.0217	0.0084	-0.95	0.01
Other	468	32404	32872	0.0667	0.0572	0.0668	0.16	0.0
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.27

repeat_counterparty_ratio_out	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0.0 - <0.2	6945	454080	461025	0.9348	0.8486	0.9362	0.1	0.01
0.2 - <0.4	282	6428	6710	0.0136	0.0345	0.0133	-0.96	0.02
0.4 - <0.6	278	8195	8473	0.0172	0.034	0.0169	-0.7	0.01
0.6 - <0.8	55	1239	1294	0.0026	0.0067	0.0026	-0.97	0.0
Other	624	15063	15687	0.0318	0.0762	0.0311	-0.9	0.04
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.09

top_destination_share_out	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0.0 - <0.2	4675	374351	379026	0.7685	0.5712	0.7718	0.3	0.06
