Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <50,6037,484750,490787,0.9951,0.7377,0.9995,0.3,0.08
100 - <150,476,47,523,0.0011,0.0582,0.0001,-6.4,0.37
150 - <200,351,29,380,0.0008,0.0429,0.0001,-6.58,0.28
200 - <250,206,13,219,0.0004,0.0252,0.0,-6.84,0.17
250 - <300,120,4,124,0.0003,0.0147,0.0,-7.48,0.11
300 - <350,118,5,123,0.0002,0.0144,0.0,-7.24,0.1
350+,146,0,146,0.0003,0.0178,0.0,-9.79,0.17
50 - <100,730,157,887,0.0018,0.0892,0.0003,-5.62,0.5
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.79
