Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,4516,347820,352336,0.7144,0.5518,0.7171,0.26,0.04
1 - <50K,1308,132364,133672,0.271,0.1598,0.2729,0.54,0.06
100K - <150K,332,846,1178,0.0024,0.0406,0.0017,-3.15,0.12
150K - <200K,214,384,598,0.0012,0.0261,0.0008,-3.5,0.09
200K - <250K,190,246,436,0.0009,0.0232,0.0005,-3.82,0.09
250K - <300K,181,141,322,0.0007,0.0221,0.0003,-4.33,0.09
300K - <350K,109,83,192,0.0004,0.0133,0.0002,-4.35,0.06
350K - <400K,137,59,196,0.0004,0.0167,0.0001,-4.92,0.08
400K - <450K,158,65,223,0.0005,0.0193,0.0001,-4.97,0.1
450K - <500K,106,33,139,0.0003,0.013,0.0001,-5.25,0.07
500K+,453,194,647,0.0013,0.0554,0.0004,-4.93,0.27
50K - <100K,478,2658,3136,0.0064,0.0584,0.0055,-2.37,0.13
Other,2,112,114,0.0002,0.0002,0.0002,-0.06,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.19
