Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
MIN_PROJECT NCCC MALL VICTORIA PLAZA DAVAO CITY NOV 2024,2,319,321,0.0007,0.0002,0.0007,0.99,0.0
MIN_PROJECT ORORAMA SUPERCENTER CDO Sep 2024,0,17,17,0.0,0.0,0.0,0.0,0.0
MIN_PROJECT SIARGAO_AVENTINO_GL,0,94,94,0.0002,0.0,0.0002,0.0,0.0
MIN_PROJECT SIARGAO_BUTANG_GL,1,62,63,0.0001,0.0001,0.0001,0.05,0.0
MIN_PROJECT SIARGAO_TOMNTOMS_GL,0,29,29,0.0001,0.0,0.0001,0.0,0.0
Maxicare_Makati Medical Center Tower 1 2F,1,79,80,0.0002,0.0001,0.0002,0.29,0.0
NB Alabang Town Center,2,407,409,0.0008,0.0002,0.0008,1.23,0.0
NB Ayala Center Cebu,1,1025,1026,0.0021,0.0001,0.0021,2.85,0.01
NB Ayala Mall Circuit,3,264,267,0.0005,0.0004,0.0005,0.4,0.0
NB Ayala Mall Feliz,0,394,394,0.0008,0.0,0.0008,0.0,0.0
NB Ayala Mall Manila Bay,7,832,839,0.0017,0.0009,0.0017,0.7,0.0
NB Festival Mall Muntinlupa,2,397,399,0.0008,0.0002,0.0008,1.21,0.0
NB Galleria South San Pedro,0,346,346,0.0007,0.0,0.0007,0.0,0.0
NB Glorietta 4 Makati,9,1600,1609,0.0033,0.0011,0.0033,1.1,0.0
NB RP Antipolo,2,460,462,0.0009,0.0002,0.0009,1.36,0.0
NB RP Ermita Manila,27,729,756,0.0015,0.0033,0.0015,-0.79,0.0
NB RP Galleria,1,328,329,0.0007,0.0001,0.0007,1.71,0.0
NB RP Imus,1,653,654,0.0013,0.0001,0.0013,2.4,0.0
NB RP Metroeast,3,1196,1199,0.0024,0.0004,0.0025,1.91,0.0
NB Shangri-la Mandaluyong,1,399,400,0.0008,0.0001,0.0008,1.91,0.0
NB UP Town Center Katipunan,1,467,468,0.0009,0.0001,0.001,2.06,0.0
NLUZ PROJECT CSI MALL DAGUPAN OCT 2024,1,4,5,0.0,0.0001,0.0,-2.7,0.0
NLUZ PROJECT MAGIC MALL ALAMINOS DEC 2024,2,141,143,0.0003,0.0002,0.0003,0.17,0.0
NLUZ PROJECT MAGIC MALL MANGALDAN SEP 2024,1,147,148,0.0003,0.0001,0.0003,0.91,0.0
NLUZ PROJECT MAGIC MALL MANGATAREM SEP 2024,1,251,252,0.0005,0.0001,0.0005,1.44,0.0
NLUZ PROJECT VICTORY CENTER MALL SAN JOSE DEL MONTE BULACAN FEBRUARY 2025,2,898,900,0.0018,0.0002,0.0019,2.03,0.0
NLUZ Project 2 Brothers Supermarket DEC 2024,0,81,81,0.0002,0.0,0.0002,0.0,0.0
NLUZ Project JTC Mall Bantay Sep 2024,0,86,86,0.0002,0.0,0.0002,0.0,0.0
NLUZ Project JTC Mall Tagudin Sep 2024,0,129,129,0.0003,0.0,0.0003,0.0,0.0
NLUZ Project Magic Mall Tayug SEP 2024,0,177,177,0.0004,0.0,0.0004,0.0,0.0
NLUZ Project Magic Mall Urdaneta SEP 2024,1,616,617,0.0013,0.0001,0.0013,2.34,0.0
NLUZ_ PFF Maldives Game March 2025,0,67,67,0.0001,0.0,0.0001,0.0,0.0
NLUZ_JTC SUPERMARKET BANGUED Abra February 2025,1,271,272,0.0006,0.0001,0.0006,1.52,0.0
NLUZ_JTC SUPERMARKET BATAC Ilocos Norte February 2025,0,449,449,0.0009,0.0,0.0009,0.0,0.0
NLUZ_JUMBO Jenra Apalit  Pampanga February 2025,3,336,339,0.0007,0.0004,0.0007,0.64,0.0
NLUZ_Jumbo Jenra Dau Mabalacat Pampanga February 2025,1,784,785,0.0016,0.0001,0.0016,2.58,0.0
NLUZ_Jumbo Jenra Dolores Pampanga February 2025,1,399,400,0.0008,0.0001,0.0008,1.91,0.0
NLUZ_Jumbo Jenra Grandmall Angeles Pampanga February 2025,3,894,897,0.0018,0.0004,0.0018,1.62,0.0
NLUZ_Jumbo Sandilan San Fernando February 2025,1,278,279,0.0006,0.0001,0.0006,1.55,0.0
NLUZ_Magic Mall Lingayen Pangasinan February 2025,1,678,679,0.0014,0.0001,0.0014,2.44,0.0
"NLUZ_Magic Star Mall, Tarlac February 2025",1,629,630,0.0013,0.0001,0.0013,2.36,0.0
NLUZ_NE PACIFIC SHOPPING CENTER Cabanatuan City Nueva Ecija February 2025,0,761,761,0.0015,0.0,0.0016,0.0,0.0
NLUZ_Panda Legends_March 2025,0,24,24,0.0,0.0,0.0,0.0,0.0
NLUZ_Unitop Baliwag Bulacan February 2025,1,729,730,0.0015,0.0001,0.0015,2.51,0.0
NNCR_Bridgetowne Pride Night Event May 2025,0,2,2,0.0,0.0,0.0,0.0,0.0
NNCR_Ever Gotesco Commonwealth Oct 2024,0,2,2,0.0,0.0,0.0,0.0,0.0
NNCR_FHMoms Ultra Mom Fest Event May 2025,0,50,50,0.0001,0.0,0.0001,0.0,0.0
NNCR_Fishermall Malabon Sept 2024,6,328,334,0.0007,0.0007,0.0007,-0.08,0.0
