Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <10,5890,483767,489657,0.9928,0.7197,0.9974,0.33,0.09
10 - <20,1031,861,1892,0.0038,0.126,0.0018,-4.26,0.53
20 - <40,778,248,1026,0.0021,0.0951,0.0005,-5.23,0.49
40+,485,129,614,0.0012,0.0593,0.0003,-5.41,0.32
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.43
