Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0% - <20%,5965,422695,428660,0.8692,0.7289,0.8715,0.18,0.03
20% - <40%,1040,8595,9635,0.0195,0.1271,0.0177,-1.97,0.22
40%+,1179,53715,54894,0.1113,0.1441,0.1108,-0.26,0.01
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.25
