Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
Foundever Eton Ortigas GF Recruitment Area,2,201,203,0.0004,0.0002,0.0004,0.53,0.0
Foundever Glorietta,0,144,144,0.0003,0.0,0.0003,0.0,0.0
Foundever Julia Vargas Ortigas,0,155,155,0.0003,0.0,0.0003,0.0,0.0
Foundever Palawan,0,81,81,0.0002,0.0,0.0002,0.0,0.0
Foundever Tarlac 2,1,310,311,0.0006,0.0001,0.0006,1.65,0.0
Galleria Corporate Center,0,155,155,0.0003,0.0,0.0003,0.0,0.0
GoTyme Bank Head Office,0,3,3,0.0,0.0,0.0,0.0,0.0
MASA QC HQ Lobby,0,15,15,0.0,0.0,0.0,0.0,0.0
MIN PROJECT BUPHARCO MAR 2025,0,27,27,0.0001,0.0,0.0001,0.0,0.0
MIN PROJECT GAISANO CAPITAL PAGADIAN JAN 2025,0,8,8,0.0,0.0,0.0,0.0,0.0
MIN PROJECT GAISANO MALL TAGUM SEPT 2024,2,3,5,0.0,0.0002,0.0,-3.68,0.0
MIN_PROJECT GAISANO CITY MALL CDO OCT 2024,0,13,13,0.0,0.0,0.0,0.0,0.0
MIN_PROJECT NCCC MALL VICTORIA PLAZA DAVAO CITY NOV 2024,2,319,321,0.0007,0.0002,0.0007,0.99,0.0
MIN_PROJECT ORORAMA SUPERCENTER CDO Sep 2024,0,17,17,0.0,0.0,0.0,0.0,0.0
MIN_PROJECT SIARGAO_AVENTINO_GL,0,94,94,0.0002,0.0,0.0002,0.0,0.0
MIN_PROJECT SIARGAO_BUTANG_GL,1,62,63,0.0001,0.0001,0.0001,0.05,0.0
MIN_PROJECT SIARGAO_TOMNTOMS_GL,0,29,29,0.0001,0.0,0.0001,0.0,0.0
Maxicare_Makati Medical Center Tower 1 2F,1,79,80,0.0002,0.0001,0.0002,0.29,0.0
NB Alabang Town Center,2,406,408,0.0008,0.0002,0.0008,1.23,0.0
NB Ayala Center Cebu,1,1025,1026,0.0021,0.0001,0.0021,2.85,0.01
NB Ayala Mall Circuit,3,265,268,0.0005,0.0004,0.0005,0.4,0.0
NB Ayala Mall Feliz,0,395,395,0.0008,0.0,0.0008,0.0,0.0
NB Ayala Mall Manila Bay,7,830,837,0.0017,0.0009,0.0017,0.69,0.0
NB Festival Mall Muntinlupa,2,398,400,0.0008,0.0002,0.0008,1.21,0.0
NB Galleria South San Pedro,0,347,347,0.0007,0.0,0.0007,0.0,0.0
NB Glorietta 4 Makati,9,1602,1611,0.0033,0.0011,0.0033,1.1,0.0
NB RP Antipolo,2,458,460,0.0009,0.0002,0.0009,1.35,0.0
NB RP Ermita Manila,27,728,755,0.0015,0.0033,0.0015,-0.79,0.0
NB RP Galleria,1,328,329,0.0007,0.0001,0.0007,1.71,0.0
NB RP Imus,1,654,655,0.0013,0.0001,0.0013,2.4,0.0
NB RP Metroeast,3,1192,1195,0.0024,0.0004,0.0025,1.9,0.0
NB Shangri-la Mandaluyong,1,400,401,0.0008,0.0001,0.0008,1.91,0.0
NB UP Town Center Katipunan,1,465,466,0.0009,0.0001,0.001,2.06,0.0
NLUZ PROJECT CSI MALL DAGUPAN OCT 2024,1,4,5,0.0,0.0001,0.0,-2.7,0.0
NLUZ PROJECT MAGIC MALL ALAMINOS DEC 2024,2,141,143,0.0003,0.0002,0.0003,0.17,0.0
NLUZ PROJECT MAGIC MALL MANGALDAN SEP 2024,1,147,148,0.0003,0.0001,0.0003,0.91,0.0
NLUZ PROJECT MAGIC MALL MANGATAREM SEP 2024,1,251,252,0.0005,0.0001,0.0005,1.44,0.0
NLUZ PROJECT VICTORY CENTER MALL SAN JOSE DEL MONTE BULACAN FEBRUARY 2025,2,896,898,0.0018,0.0002,0.0018,2.02,0.0
NLUZ Project 2 Brothers Supermarket DEC 2024,0,81,81,0.0002,0.0,0.0002,0.0,0.0
NLUZ Project JTC Mall Bantay Sep 2024,0,86,86,0.0002,0.0,0.0002,0.0,0.0
NLUZ Project JTC Mall Tagudin Sep 2024,0,129,129,0.0003,0.0,0.0003,0.0,0.0
NLUZ Project Magic Mall Tayug SEP 2024,0,177,177,0.0004,0.0,0.0004,0.0,0.0
NLUZ Project Magic Mall Urdaneta SEP 2024,1,619,620,0.0013,0.0001,0.0013,2.35,0.0
NLUZ_ PFF Maldives Game March 2025,0,67,67,0.0001,0.0,0.0001,0.0,0.0
NLUZ_JTC SUPERMARKET BANGUED Abra February 2025,1,271,272,0.0006,0.0001,0.0006,1.52,0.0
NLUZ_JTC SUPERMARKET BATAC Ilocos Norte February 2025,0,449,449,0.0009,0.0,0.0009,0.0,0.0
NLUZ_JUMBO Jenra Apalit  Pampanga February 2025,3,337,340,0.0007,0.0004,0.0007,0.64,0.0
NLUZ_Jumbo Jenra Dau Mabalacat Pampanga February 2025,1,784,785,0.0016,0.0001,0.0016,2.58,0.0
NLUZ_Jumbo Jenra Dolores Pampanga February 2025,1,399,400,0.0008,0.0001,0.0008,1.91,0.0
NLUZ_Jumbo Jenra Grandmall Angeles Pampanga February 2025,4,894,898,0.0018,0.0005,0.0018,1.33,0.0
NLUZ_Jumbo Sandilan San Fernando February 2025,1,278,279,0.0006,0.0001,0.0006,1.55,0.0
NLUZ_Magic Mall Lingayen Pangasinan February 2025,1,678,679,0.0014,0.0001,0.0014,2.44,0.0
"NLUZ_Magic Star Mall, Tarlac February 2025",1,628,629,0.0013,0.0001,0.0013,2.36,0.0
NLUZ_NE PACIFIC SHOPPING CENTER Cabanatuan City Nueva Ecija February 2025,0,762,762,0.0015,0.0,0.0016,0.0,0.0
NLUZ_Panda Legends_March 2025,0,24,24,0.0,0.0,0.0,0.0,0.0
NLUZ_Unitop Baliwag Bulacan February 2025,1,730,731,0.0015,0.0001,0.0015,2.51,0.0
NNCR_Bridgetowne Pride Night Event May 2025,0,2,2,0.0,0.0,0.0,0.0,0.0
NNCR_Ever Gotesco Commonwealth Oct 2024,0,2,2,0.0,0.0,0.0,0.0,0.0
NNCR_FHMoms Ultra Mom Fest Event May 2025,0,50,50,0.0001,0.0,0.0001,0.0,0.0
NNCR_Fishermall Malabon Sept 2024,6,331,337,0.0007,0.0007,0.0007,-0.07,0.0
NNCR_Fishermall Quezon Ave Oct 2024,4,183,187,0.0004,0.0005,0.0004,-0.26,0.0
NNCR_Gaisano Binangonan Oct 2024,0,26,26,0.0001,0.0,0.0001,0.0,0.0
NNCR_Primark Kasiglahan Oct 2024,2,9,11,0.0,0.0002,0.0,-2.58,0.0
NNCR_Riverbanks Oct 2024,2,241,243,0.0005,0.0002,0.0005,0.71,0.0
NNCR_Tanay Town Center Dec 2024,1,45,46,0.0001,0.0001,0.0001,-0.28,0.0
NNCR_Uno West Insula Sept 2024,0,4,4,0.0,0.0,0.0,0.0,0.0
NNCR_Victory Liner Feb 2025,1,3,4,0.0,0.0001,0.0,-2.98,0.0
NNCR_Wilcon Home Essential_Dec 2024,0,2,2,0.0,0.0,0.0,0.0,0.0
NNCR_XENTROMALL MONTALBAN_DEC 2024,1,76,77,0.0002,0.0001,0.0002,0.25,0.0
NNCR_XRC Square Oct 2024,1,3,4,0.0,0.0001,0.0,-2.98,0.0
No Kiosk Interaction,6645,153370,160015,0.3244,0.812,0.3162,-0.94,0.47
POPS District Building Wodd Coffee Shop Siargao,0,23,23,0.0,0.0,0.0,0.0,0.0
Polystar Office Moonwalk,2,130,132,0.0003,0.0002,0.0003,0.09,0.0
RDS ABREEZA MALL DAVAO,5,1935,1940,0.0039,0.0006,0.004,1.88,0.01
RDS AYALA CAGAYAN DE ORO,1,647,648,0.0013,0.0001,0.0013,2.39,0.0
RDS CITI SQUARE MALABON,1,627,628,0.0013,0.0001,0.0013,2.36,0.0
RDS FESTIVAL MALL ALABANG,3,1335,1338,0.0027,0.0004,0.0028,2.02,0.0
RDS GALLERIA SOUTH,1,687,688,0.0014,0.0001,0.0014,2.45,0.0
RDS GEN TRIAS,3,1359,1362,0.0028,0.0004,0.0028,2.03,0.0
RDS LIMKETKEI CAGAYAN DE ORO,1,974,975,0.002,0.0001,0.002,2.8,0.01
RDS MALL OF AL NOR COTABATO,5,773,778,0.0016,0.0006,0.0016,0.96,0.0
RDS NEPOMALL ANGELES,3,1642,1645,0.0033,0.0004,0.0034,2.22,0.01
RDS NEPOMALL DAGUPAN,0,527,527,0.0011,0.0,0.0011,0.0,0.0
RDS RP ANGELES,0,261,261,0.0005,0.0,0.0005,0.0,0.0
RDS RP ANTIQUE,0,452,452,0.0009,0.0,0.0009,0.0,0.0
RDS RP Antipolo,8,1362,1370,0.0028,0.001,0.0028,1.06,0.0
RDS RP BACOLOD,5,882,887,0.0018,0.0006,0.0018,1.09,0.0
RDS RP Butuan,4,808,812,0.0016,0.0005,0.0017,1.23,0.0
RDS RP CABANATUAN,2,833,835,0.0017,0.0002,0.0017,1.95,0.0
RDS RP Cebu,50,1460,1510,0.0031,0.0061,0.003,-0.71,0.0
RDS RP DUMAGUETE,2,855,857,0.0017,0.0002,0.0018,1.98,0.0
RDS RP Ermita,8,923,931,0.0019,0.001,0.0019,0.67,0.0
RDS RP GEN SAN,3,1040,1043,0.0021,0.0004,0.0021,1.77,0.0
RDS RP Galleria,1,562,563,0.0011,0.0001,0.0012,2.25,0.0
RDS RP Gapan,1,935,936,0.0019,0.0001,0.0019,2.76,0.0
RDS RP ILIGAN,4,1074,1078,0.0022,0.0005,0.0022,1.51,0.0
RDS RP ILOCOS NORTE,4,1371,1375,0.0028,0.0005,0.0028,1.76,0.0
RDS RP ILOILO,2,1232,1234,0.0025,0.0002,0.0025,2.34,0.01
RDS RP IMUS,2,875,877,0.0018,0.0002,0.0018,2.0,0.0
RDS RP JARO,2,603,605,0.0012,0.0002,0.0012,1.63,0.0
RDS RP LAS PINAS,5,1189,1194,0.0024,0.0006,0.0025,1.39,0.0
RDS RP La Union,2,1804,1806,0.0037,0.0002,0.0037,2.72,0.01
RDS RP Lipa,6,605,611,0.0012,0.0007,0.0012,0.53,0.0
RDS RP MAGNOLIA,1,279,280,0.0006,0.0001,0.0006,1.55,0.0
RDS RP METROEAST,5,1175,1180,0.0024,0.0006,0.0024,1.38,0.0
RDS RP Malolos,6,1802,1808,0.0037,0.0007,0.0037,1.62,0.0
RDS RP NAGA,1,786,787,0.0016,0.0001,0.0016,2.58,0.0
RDS RP NORTH TACLOBAN,2,618,620,0.0013,0.0002,0.0013,1.65,0.0
RDS RP ORMOC,3,679,682,0.0014,0.0004,0.0014,1.34,0.0
RDS RP PALAWAN,3,1065,1068,0.0022,0.0004,0.0022,1.79,0.0
RDS RP PAMPANGA,4,1464,1468,0.003,0.0005,0.003,1.82,0.0
RDS RP PANGASINAN,6,1292,1298,0.0026,0.0007,0.0027,1.29,0.0
RDS RP PAVIA,0,448,448,0.0009,0.0,0.0009,0.0,0.0
RDS RP ROXAS,1,1502,1503,0.003,0.0001,0.0031,3.23,0.01
RDS RP SANTIAGO,2,1731,1733,0.0035,0.0002,0.0036,2.68,0.01
RDS RP TACLOBAN,3,1357,1360,0.0028,0.0004,0.0028,2.03,0.0
RDS RP TAGUM,3,1086,1089,0.0022,0.0004,0.0022,1.81,0.0
RDS RP TUGUEGARAO,2,1443,1445,0.0029,0.0002,0.003,2.5,0.01
RDS RP VALENCIA,0,877,877,0.0018,0.0,0.0018,0.0,0.0
RDS Robinsons Galleria Cebu,3,651,654,0.0013,0.0004,0.0013,1.3,0.0
RDS TOWN CENTER CALAPAN,1,646,647,0.0013,0.0001,0.0013,2.39,0.0
RE 100 WEST MAKATI,0,258,258,0.0005,0.0,0.0005,0.0,0.0
RE Alaminos Laguna,1,419,420,0.0009,0.0001,0.0009,1.96,0.0
RE Alima Bay Bacoor,0,2,2,0.0,0.0,0.0,0.0,0.0
RE Amaia Pasig,2,241,243,0.0005,0.0002,0.0005,0.71,0.0
RE Apalit Pampanga,3,305,308,0.0006,0.0004,0.0006,0.54,0.0
RE Arnaiz Pasay,1,401,402,0.0008,0.0001,0.0008,1.91,0.0
RE Aurora Escalades,2,212,214,0.0004,0.0002,0.0004,0.58,0.0
RE BF Resort Village Las Pinas,0,203,203,0.0004,0.0,0.0004,0.0,0.0
RE Babo Sacan Porac Pampanga,0,137,137,0.0003,0.0,0.0003,0.0,0.0
RE Bagong Kalsada Laguna,1,327,328,0.0007,0.0001,0.0007,1.71,0.0
RE Balisong Taal Batangas,1,194,195,0.0004,0.0001,0.0004,1.19,0.0
RE Bangad Cabanatuan,1,305,306,0.0006,0.0001,0.0006,1.64,0.0
RE Baras Rizal,1,297,298,0.0006,0.0001,0.0006,1.61,0.0
RE Basak Lapu-lapu Cebu,3,220,223,0.0005,0.0004,0.0005,0.21,0.0
RE Bauan Batangas,12,480,492,0.001,0.0015,0.001,-0.39,0.0
RE Better Living Paranaque,10,371,381,0.0008,0.0012,0.0008,-0.47,0.0
RE Binangonan Rizal,0,394,394,0.0008,0.0,0.0008,0.0,0.0
RE Birmingham Meadows,1,253,254,0.0005,0.0001,0.0005,1.45,0.0
RE Buhay na Tubig Imus,1,431,432,0.0009,0.0001,0.0009,1.98,0.0
RE Burgos Cavite City,4,297,301,0.0006,0.0005,0.0006,0.23,0.0
RE C&B Circle Mall Marikina,8,330,338,0.0007,0.001,0.0007,-0.36,0.0
RE C. RAYMUNDO PASIG,1,275,276,0.0006,0.0001,0.0006,1.53,0.0
RE CALACA,1,391,392,0.0008,0.0001,0.0008,1.89,0.0
RE CALUMPIT,1,156,157,0.0003,0.0001,0.0003,0.97,0.0
RE CULIAT TOWN CENTER,1,366,367,0.0007,0.0001,0.0008,1.82,0.0
RE Cabahug Cebu,3,222,225,0.0005,0.0004,0.0005,0.22,0.0
RE Cabuyao Bayan Laguna,0,360,360,0.0007,0.0,0.0007,0.0,0.0
RE Cacutud,0,228,228,0.0005,0.0,0.0005,0.0,0.0
RE Calamba,0,442,442,0.0009,0.0,0.0009,0.0,0.0
RE Capitol Blvd Pampanga,0,122,122,0.0002,0.0,0.0003,0.0,0.0
RE Casa Anselmo Malolos,0,82,82,0.0002,0.0,0.0002,0.0,0.0
RE Castillejos Zambales,0,589,589,0.0012,0.0,0.0012,0.0,0.0
RE City Center Tarlac,2,205,207,0.0004,0.0002,0.0004,0.55,0.0
RE Cityland Santolan Pasig,2,217,219,0.0004,0.0002,0.0004,0.6,0.0
RE Concepcion Tarlac,1,291,292,0.0006,0.0001,0.0006,1.59,0.0
RE Crown B Bldg Sto Tomas,1,81,82,0.0002,0.0001,0.0002,0.31,0.0
RE Cutcut Angeles Pampanga,0,138,138,0.0003,0.0,0.0003,0.0,0.0
RE Dahlia Avenue Quezon City,0,194,194,0.0004,0.0,0.0004,0.0,0.0
RE E. Rodriguez Sr. QC,1,626,627,0.0013,0.0001,0.0013,2.36,0.0
RE FIL AM FRIENDSHIP Angeles,5,226,231,0.0005,0.0006,0.0005,-0.27,0.0
RE Fairview Center Mall,0,564,564,0.0011,0.0,0.0012,0.0,0.0
RE Farmers Araneta Cubao,3,698,701,0.0014,0.0004,0.0014,1.37,0.0
RE Filinvest Batasan Hills,2,245,247,0.0005,0.0002,0.0005,0.73,0.0
RE Fortune King Naic Cavite,5,253,258,0.0005,0.0006,0.0005,-0.16,0.0
RE Friendship Angeles,1,536,537,0.0011,0.0001,0.0011,2.2,0.0
RE General Avenue QC,1,570,571,0.0012,0.0001,0.0012,2.26,0.0
RE Gil Carlos Baliwag,2,433,435,0.0009,0.0002,0.0009,1.3,0.0
RE Gloria Diaz Las Pinas,2,170,172,0.0003,0.0002,0.0004,0.36,0.0
RE Grand Villas Resort Pateros,2,339,341,0.0007,0.0002,0.0007,1.05,0.0
RE Green Gate Malagasang Imus,5,152,157,0.0003,0.0006,0.0003,-0.67,0.0
RE Guimba Nueva Ecija,1,568,569,0.0012,0.0001,0.0012,2.26,0.0
RE Gun-ob Looc Cebu,3,384,387,0.0008,0.0004,0.0008,0.77,0.0
RE HERMANOS SAN PABLO,3,555,558,0.0011,0.0004,0.0011,1.14,0.0
RE HPL Guiguinto Bulacan,1,0,1,0.0,0.0001,0.0,0.0,-0.0
RE Hagonoy Bulacan,1,123,124,0.0003,0.0001,0.0003,0.73,0.0
RE Harmony Village Laguna,0,230,230,0.0005,0.0,0.0005,0.0,0.0
RE Hilario San Pablo Laguna,2,378,380,0.0008,0.0002,0.0008,1.16,0.0
RE Hillside Plaza Sumulong,0,390,390,0.0008,0.0,0.0008,0.0,0.0
RE Holiday Island Bagong Silang,13,448,461,0.0009,0.0016,0.0009,-0.54,0.0
RE JP Rizal Pililla,0,214,214,0.0004,0.0,0.0004,0.0,0.0
RE Jocevil Centre Tumana,3,375,378,0.0008,0.0004,0.0008,0.75,0.0
RE Kambal Road San Mateo Rizal,1,508,509,0.001,0.0001,0.001,2.15,0.0
RE Kapitan Pepe Cabanatuan,0,98,98,0.0002,0.0,0.0002,0.0,0.0
RE LAGO DE ORO CALATAGAN BATANGAS,1,184,185,0.0004,0.0001,0.0004,1.13,0.0
RE Lagro Quirino Hi-Way,0,229,229,0.0005,0.0,0.0005,0.0,0.0
RE Lancaster Square Imus,1,256,257,0.0005,0.0001,0.0005,1.46,0.0
RE Liberty Building Boni,3,490,493,0.001,0.0004,0.001,1.01,0.0
RE Ligtasan Tarlac,0,149,149,0.0003,0.0,0.0003,0.0,0.0
RE M Naval Navotas,1,171,172,0.0003,0.0001,0.0004,1.06,0.0
RE Mactan Newtown Center,1,319,320,0.0006,0.0001,0.0007,1.68,0.0
RE Maginhawa Teachers Village,3,608,611,0.0012,0.0004,0.0013,1.23,0.0
RE Maguyam Road Silang Cavite,0,181,181,0.0004,0.0,0.0004,0.0,0.0
RE Malitlit,0,185,185,0.0004,0.0,0.0004,0.0,0.0
RE Manhattan Heights Cubao,1,277,278,0.0006,0.0001,0.0006,1.54,0.0
RE Mapandan Pangasinan,0,365,365,0.0007,0.0,0.0008,0.0,0.0
RE Mariposa Arcade Kapasigan,1,543,544,0.0011,0.0001,0.0011,2.22,0.0
RE Market Ave Pasig,2,520,522,0.0011,0.0002,0.0011,1.48,0.0
RE Market City Mall Tarlac,3,848,851,0.0017,0.0004,0.0017,1.56,0.0
RE Maypajo Caloocan,7,39,46,0.0001,0.0009,0.0001,-2.36,0.0
RE Megasaver Magalang,1,354,355,0.0007,0.0001,0.0007,1.79,0.0
RE Metro Point Mall Taft,7,2423,2430,0.0049,0.0009,0.005,1.76,0.01
RE Metroplaza Bagong Silang,7,411,418,0.0008,0.0009,0.0008,-0.01,0.0
RE N Domingo San Juan,0,219,219,0.0004,0.0,0.0005,0.0,0.0
RE Naga Road Las Pinas,0,313,313,0.0006,0.0,0.0006,0.0,0.0
RE Noah Building Aguirre,3,258,261,0.0005,0.0004,0.0005,0.37,0.0
RE Old Sauyo Quezon City,2,178,180,0.0004,0.0002,0.0004,0.41,0.0
RE One Mercedes Plaza Pasig,2,1233,1235,0.0025,0.0002,0.0025,2.34,0.01
RE Orani Bataan,1,228,229,0.0005,0.0001,0.0005,1.35,0.0
RE P Tuazon Benitez QC,0,544,544,0.0011,0.0,0.0011,0.0,0.0
RE PAJAC LAPU LAPU CEBU,0,161,161,0.0003,0.0,0.0003,0.0,0.0
RE PANDAN TABUN ANGELES,1,372,373,0.0008,0.0001,0.0008,1.84,0.0
RE PARIAN CALAMBA LAGUNA,6,1267,1273,0.0026,0.0007,0.0026,1.27,0.0
RE PITX,13,3130,3143,0.0064,0.0016,0.0065,1.4,0.01
RE POBLACION EAST MUNOZ NE,1,549,550,0.0011,0.0001,0.0011,2.23,0.0
RE Pembo Makati,1,430,431,0.0009,0.0001,0.0009,1.98,0.0
RE Platinum Plaza Pardo Cebu,0,257,257,0.0005,0.0,0.0005,0.0,0.0
RE Project 4 Quezon City,4,516,520,0.0011,0.0005,0.0011,0.78,0.0
RE QUEZON AVENUE,0,416,416,0.0008,0.0,0.0009,0.0,0.0
RE Rizal Nueva Ecija,2,628,630,0.0013,0.0002,0.0013,1.67,0.0
RE Robinsons Homes Antipolo,2,277,279,0.0006,0.0002,0.0006,0.85,0.0
RE Roblou Market Place Cainta,4,291,295,0.0006,0.0005,0.0006,0.21,0.0
RE Rodlea Bldg Bamban Tarlac,0,201,201,0.0004,0.0,0.0004,0.0,0.0
RE SAN FRANCISCO LAGUNA,0,299,299,0.0006,0.0,0.0006,0.0,0.0
RE SINILOAN LAGUNA,5,339,344,0.0007,0.0006,0.0007,0.13,0.0
RE SKYLINE DRIVE SJDM BULACAN,35,560,595,0.0012,0.0043,0.0012,-1.31,0.0
RE SUCLAYIN BALER AURORA,0,129,129,0.0003,0.0,0.0003,0.0,0.0
RE Sacred Heart Caloocan,0,242,242,0.0005,0.0,0.0005,0.0,0.0
RE San Agustin Tanza Cavite,0,208,208,0.0004,0.0,0.0004,0.0,0.0
