Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,6084,415844,421928,0.8555,0.7434,0.8574,0.14,0.02
1 - <50K,814,65479,66293,0.1344,0.0995,0.135,0.31,0.01
100K - <150K,209,575,784,0.0016,0.0255,0.0012,-3.07,0.07
150K - <200K,122,273,395,0.0008,0.0149,0.0006,-3.28,0.05
200K - <250K,85,179,264,0.0005,0.0104,0.0004,-3.34,0.03
250K - <300K,73,106,179,0.0004,0.0089,0.0002,-3.71,0.03
300K - <350K,49,89,138,0.0003,0.006,0.0002,-3.49,0.02
350K - <400K,43,51,94,0.0002,0.0053,0.0001,-3.91,0.02
400K - <450K,38,64,102,0.0002,0.0046,0.0001,-3.56,0.02
450K - <500K,29,48,77,0.0002,0.0035,0.0001,-3.58,0.01
500K+,265,305,570,0.0012,0.0324,0.0006,-3.94,0.13
50K - <100K,373,1915,2288,0.0046,0.0456,0.0039,-2.45,0.1
Other,0,77,77,0.0002,0.0,0.0002,5.07,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.51
