Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3033,322646,325679,0.6604,0.3706,0.6652,0.59,0.17
1 - <250K,3022,160635,163657,0.3318,0.3693,0.3312,-0.11,0.0
1.5M+,142,184,326,0.0007,0.0174,0.0004,-3.82,0.06
1M - <1.5M,282,162,444,0.0009,0.0345,0.0003,-4.64,0.16
250K - <500K,803,830,1633,0.0033,0.0981,0.0017,-4.05,0.39
500K - <750K,548,324,872,0.0018,0.067,0.0007,-4.61,0.31
750K - <1M,354,168,522,0.0011,0.0433,0.0003,-4.83,0.21
Other,0,56,56,0.0001,0.0,0.0001,4.75,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.3
