Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <50,6223,484893,491116,0.9958,0.7604,0.9998,0.27,0.07
100 - <150,489,19,508,0.001,0.0598,0.0,-7.33,0.44
150 - <200,266,2,268,0.0005,0.0325,0.0,-8.97,0.29
200 - <250,195,2,197,0.0004,0.0238,0.0,-8.66,0.21
250 - <300,306,2,308,0.0006,0.0374,0.0,-9.11,0.34
300 - <350,184,2,186,0.0004,0.0225,0.0,-8.6,0.19
350+,310,0,310,0.0006,0.0379,0.0,-10.54,0.4
50 - <100,211,85,296,0.0006,0.0258,0.0002,-4.99,0.13
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,2.06
