Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,2815,290425,293240,0.5946,0.344,0.5988,0.55,0.14
1 - <50K,1967,187340,189307,0.3838,0.2403,0.3863,0.47,0.07
100K - <150K,908,1127,2035,0.0041,0.1109,0.0023,-3.87,0.42
150K - <200K,1016,490,1506,0.0031,0.1241,0.001,-4.81,0.59
200K - <500K,361,583,944,0.0019,0.0441,0.0012,-3.6,0.15
500K+,42,156,198,0.0004,0.0051,0.0003,-2.77,0.01
50K - <100K,1075,4828,5903,0.012,0.1314,0.01,-2.58,0.31
Other,0,56,56,0.0001,0.0,0.0001,4.75,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.7
