Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
CONFIRMED_FRAUD,2022,0,2022,0.0041,0.2471,0.0,0.0,-0.0
NON_FRAUD,0,37,37,0.0001,0.0,0.0001,0.0,0.0
NO_TAG,6162,54643,60805,0.1233,0.7529,0.1127,-1.9,1.22
No Athena Tag,0,430325,430325,0.8725,0.0,0.8873,0.0,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.22
