Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <50,6862,484859,491721,0.997,0.8385,0.9997,0.18,0.03
100 - <150,260,19,279,0.0006,0.0318,0.0,-6.7,0.21
150 - <200,105,4,109,0.0002,0.0128,0.0,-7.35,0.09
200 - <250,87,2,89,0.0002,0.0106,0.0,-7.85,0.08
250 - <300,93,1,94,0.0002,0.0114,0.0,-8.61,0.1
300 - <350,130,1,131,0.0003,0.0159,0.0,-8.95,0.14
350+,272,1,273,0.0006,0.0332,0.0,-9.69,0.32
50 - <100,375,118,493,0.001,0.0458,0.0002,-5.24,0.24
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.22
