Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <5,4715,451219,455934,0.9245,0.5761,0.9303,0.48,0.17
10 - <15,1353,6012,7365,0.0149,0.1653,0.0124,-2.59,0.4
15 - <20,626,1954,2580,0.0052,0.0765,0.004,-2.94,0.21
20+,407,1042,1449,0.0029,0.0497,0.0021,-3.14,0.15
5 - <10,1083,24778,25861,0.0524,0.1323,0.0511,-0.95,0.08
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.01
