Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,5017,422543,427560,0.8669,0.613,0.8712,0.35,0.09
1 - <50K,1068,59144,60212,0.1221,0.1305,0.1219,-0.07,0.0
100K - <150K,393,451,844,0.0017,0.048,0.0009,-3.94,0.19
150K - <200K,318,266,584,0.0012,0.0389,0.0005,-4.26,0.16
200K - <250K,139,121,260,0.0005,0.017,0.0002,-4.22,0.07
250K - <300K,89,106,195,0.0004,0.0109,0.0002,-3.91,0.04
300K - <350K,96,81,177,0.0004,0.0117,0.0002,-4.25,0.05
350K - <400K,88,55,143,0.0003,0.0108,0.0001,-4.55,0.05
400K - <450K,79,47,126,0.0003,0.0097,0.0001,-4.6,0.04
450K - <500K,55,33,88,0.0002,0.0067,0.0001,-4.59,0.03
500K+,400,174,574,0.0012,0.0489,0.0004,-4.91,0.24
50K - <100K,442,1500,1942,0.0039,0.054,0.0031,-2.86,0.15
Other,0,484,484,0.001,0.0,0.001,6.91,0.01
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.12
