Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
BPI,98,14152,14250,0.0289,0.012,0.0292,0.89,0.02
CHINABANK,8,1158,1166,0.0024,0.001,0.0024,0.89,0.0
No FILA Interaction,7936,462890,470826,0.9547,0.9697,0.9544,-0.02,0.0
RCBC,92,1570,1662,0.0034,0.0112,0.0032,-1.24,0.01
UBP,50,5235,5285,0.0107,0.0061,0.0108,0.57,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.03
