mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58.593367958068846,0.6217377274366468,1.7716663837432862,0.0922569195253839,0.9,0.1,0.01,400,7,0.1,0.1,0.9,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 400, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.9}",0.5440626274250744,0.5626267664388356,0.5505033808074412,0.5595371116627675,0.5238637522062091,0.5481187277080656,0.013793513232358319,37
61.09906945228577,0.5883202853561152,1.4596988201141357,0.04303758452342933,0.8,0.001,0.0,500,5,0.1,0.1,1.0,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 500, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.5572540431792037,0.5717061713243773,0.5692697427590792,0.5718560290585772,0.5415518411310624,0.5623275654904598,0.011698846454983,19
54.555797243118285,0.6551898730732851,2.1498191356658936,0.1299559705595807,1.0,0.0,0.0,500,9,0.1,0.3,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 500, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 1.0}",0.5292883117819309,0.5555961276311809,0.5472536912026887,0.5485212430464305,0.516370020397007,0.5394058788118476,0.014420943913602309,43
33.98295450210571,0.7583466984313038,1.0557811737060547,0.07830083780548144,0.7,0.01,0.01,200,7,0.2,0.2,0.7,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0.01, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.5398448755855954,0.5596652985314591,0.5469740671653048,0.5633592920470768,0.5270365368914801,0.5473760140441832,0.013244362027279183,39
56.21394033432007,0.6235862311169441,1.813542079925537,0.1174577056397105,0.9,0.0,0.001,400,7,0.05,0.1,0.8,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 400, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.8}",0.5550537970782742,0.5744898728306879,0.5675716848137659,0.572252250805929,0.5384315392270739,0.5615598289511461,0.013378359892392493,22
13.88667573928833,0.38692785565452903,0.47293548583984374,0.05021796565685476,0.9,0.0,0.001,100,3,0.1,0.2,0.6,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.6}",0.5653430429095687,0.5851832469585608,0.577353422736175,0.5806060872439274,0.555636085687391,0.5728243771071246,0.01081865661044093,7
60.38282299041748,0.5690859595011691,1.8793538570404054,0.05203334374098272,0.6,0.01,0.01,400,7,0.05,0.2,0.7,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0.01, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 400, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.5578565492536125,0.5729156909986844,0.5734286564735586,0.5722860770534284,0.5414764998239142,0.5635926947206397,0.012500149928046496,15
13.869341897964478,0.2780775559427567,0.48169479370117185,0.06774078526202795,0.7,0.0,0.001,100,3,0.1,0.2,0.8,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.5644312108507976,0.5821379971692778,0.5736645039054626,0.5803200452715421,0.5564269220617468,0.5713961358517654,0.009723752149088051,12
19.595415830612183,0.6608343765763586,0.6696094512939453,0.024153094307294707,0.6,0.0,0.001,100,7,0.01,0.2,0.8,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.546825601995001,0.5675948601134799,0.5603884086284222,0.5638125183420134,0.5328823751489541,0.5543007528455741,0.012797588110532216,31
46.19969801902771,0.7133976883101414,1.4357625007629395,0.08558216546361663,1.0,0.001,0.01,500,5,0.01,0.0,0.6,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 500, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.6}",0.570608857552962,0.5900468190407137,0.5842378665501652,0.5862736529423261,0.5593143070024665,0.5780963006177268,0.011456246344532213,1
27.111525583267213,0.5851174665474633,0.7569756984710694,0.049634757576258695,0.6,0.1,0.01,200,5,0.05,0.1,0.8,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.8}",0.5714754651288959,0.5891707050927714,0.587358889017624,0.5815948252597476,0.5577280318583047,0.5774655832714688,0.011639505711029865,2
27.400952291488647,0.6824094244605479,0.8054476261138916,0.08880607254625493,0.6,0.1,0.1,200,5,0.2,0.1,0.8,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 200, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.8}",0.5564840848568332,0.5749574226566534,0.5688128464839192,0.5695874046016829,0.5422468663770832,0.5624177249952345,0.011761101348423529,18
34.51054358482361,0.33312720311253385,1.0857015609741212,0.14593133440355804,0.6,0.001,0.01,200,7,0.01,0.2,0.8,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.5556854687098538,0.5757767108131342,0.5679159545258307,0.5696041739789467,0.5421660324599434,0.5622296680975418,0.011963407351600341,20
14.737404823303223,0.3901886528897796,0.5022583961486816,0.0650311244052195,0.8,0.1,0.001,100,3,0.01,0.3,1.0,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 1.0}",0.48650023618671756,0.5197107429389013,0.49687267560432996,0.5166557414816347,0.4936380438765616,0.5026754880176291,0.013134947258750838,50
40.84241943359375,0.8756398177019153,1.5991257190704347,0.1798044348081017,1.0,0.001,0.01,500,5,0.1,0.2,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 500, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.8}",0.5592781636485905,0.5743638153810932,0.5672218780679327,0.5663538345301503,0.5429016020219065,0.5620238587299347,0.010688705896492522,21
27.12568645477295,0.3048096305715412,0.8782554149627686,0.1377083477438944,0.7,0.01,0.001,200,5,0.2,0.0,0.6,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0.01, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 200, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.6}",0.5640086109136689,0.5727138698205915,0.5659074377636919,0.56819727342942,0.5470998003474938,0.5635853984549732,0.008740072088382317,16
